plotNumber,purchaseDate,plotTypeID,cityID,stateID,countryID,plotNotes
137,2023-02-23,1,1,43,1,Energy Way
138,2023-02-24,1,1,43,1,Energy Way
139,2023-02-25,1,1,43,1,"Smith, Kunz & Associates"
140,2023-02-27,4,1,43,1,Energy Way
141,2023-02-27,1,1,43,1,Energy Way
142,2023-02-27,2,1,43,1,Lincoln Stake Building
143,2023-03-01,3,1,43,1,Lincoln Stake Building
144,2023-03-03,3,1,43,1,Energy Way
145,2023-03-06,2,1,43,1,Energy Way
146,2023-03-06,1,1,43,1,Energy Way
147,2023-03-08,2,1,43,1,Energy Way
148,2023-03-17,1,1,43,1,Fred Meyer
149,2023-03-17,3,1,43,1,Indian Statue by Fred Meyer
